name,url
bulbasaur,https://pokeapi.co/api/v2/pokemon/1/
ivysaur,https://pokeapi.co/api/v2/pokemon/2/
venusaur,https://pokeapi.co/api/v2/pokemon/3/
charmander,https://pokeapi.co/api/v2/pokemon/4/
charmeleon,https://pokeapi.co/api/v2/pokemon/5/
charizard,https://pokeapi.co/api/v2/pokemon/6/
squirtle,https://pokeapi.co/api/v2/pokemon/7/
wartortle,https://pokeapi.co/api/v2/pokemon/8/
blastoise,https://pokeapi.co/api/v2/pokemon/9/
caterpie,https://pokeapi.co/api/v2/pokemon/10/
metapod,https://pokeapi.co/api/v2/pokemon/11/
butterfree,https://pokeapi.co/api/v2/pokemon/12/
weedle,https://pokeapi.co/api/v2/pokemon/13/
kakuna,https://pokeapi.co/api/v2/pokemon/14/
beedrill,https://pokeapi.co/api/v2/pokemon/15/
pidgey,https://pokeapi.co/api/v2/pokemon/16/
pidgeotto,https://pokeapi.co/api/v2/pokemon/17/
pidgeot,https://pokeapi.co/api/v2/pokemon/18/
rattata,https://pokeapi.co/api/v2/pokemon/19/
raticate,https://pokeapi.co/api/v2/pokemon/20/
